answers,URL,bookmark,created:,feedback,format,gamification,gamification 1,notes,q journal entry,question,status
Did you know 13,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
cognitive distortions,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Quotes 186,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 140,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 61,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
eustress,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Quotes 51,,Yes,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
cognitive restructuring,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Quotes 170,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 95,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
how can i recognize the signs of anxiety in myself?,,No,"June 22, 2025 6:31 PM",,? questions,,,especially since i experience emotions moreso mentally than somatically in most cases besides SEVERE anxiety with an intense reason,,,to review
dysthymia,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Quotes 78,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 39,,Yes,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 50,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 134,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
wellness plan,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Did you know 57,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 64,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 160,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 29,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 74,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 60,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 145,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 191,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 126,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 98,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 166,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
navigating loneliness/connection,,No,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
Quotes 185,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 29,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 82,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 5,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 148,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 4,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 2,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 71,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 181,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 43,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
enhancing emotional regulation skills,,No,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
Quotes 178,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 196,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
how to set meaningful intentions,,No,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
daily mindfulness practices,,Yes,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
Did you know 44,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 177,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 23,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
motivating resilience via poetry,,No,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
Quotes 149,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 46,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 64,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 104,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
what’s a self-care tip that always works for me?,,No,"June 22, 2025 6:31 PM",,? questions,,,,,,to review
Did you know 108,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
lifestyle factors,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Quotes 159,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 51,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
igniting passion for social justice,,No,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
Quotes 187,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 152,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 113,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
cultivating mindful digital habits,,No,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
Did you know 5,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
Quotes 164,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Did you know 76,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
how do i practice self-care?,,No,"June 22, 2025 6:31 PM",,? questions,,,,,,to review
Quotes 195,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
Quotes 108,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
did you know 42,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
recovery capital,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
Quotes 128,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
cultivating self-awareness,,Yes,"June 22, 2025 6:31 PM",,infographic,,,,,,to review
wellbeing,,No,"June 22, 2025 6:31 PM",,terms,,,,,,to review
rest when you’re weary,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
did you know 39,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
did you know 93,,No,"June 22, 2025 6:31 PM",,did you know?,,,,,,to review
quotes 175,,No,"June 22, 2025 6:31 PM",,quotes,,,,,,to review
